dataset_name,seed,profile,accuracy,roc_auc,log_loss,n_features
real_v3_2_combatfix_smoke6000,42,full,0.5833,0.6186,0.6689,73
real_v3_2_combatfix_smoke6000,42,no_counter,0.5823,0.6252,0.6669,66
real_v3_2_combatfix_smoke6000,42,no_counter_no_losses,0.5857,0.6203,0.6689,63
real_v3_2_combatfix_smoke6000,43,full,0.5784,0.621,0.668,73
real_v3_2_combatfix_smoke6000,43,no_counter,0.5875,0.6241,0.6671,66
real_v3_2_combatfix_smoke6000,43,no_counter_no_losses,0.5846,0.6241,0.6667,63
real_v3_2_combatfix_smoke6000,44,full,0.5938,0.6325,0.665,73
real_v3_2_combatfix_smoke6000,44,no_counter,0.596,0.6338,0.6645,66
real_v3_2_combatfix_smoke6000,44,no_counter_no_losses,0.5866,0.6256,0.6673,63
real_v3_1_fixed_smoke6000,42,full,0.5863,0.6242,0.6668,64
real_v3_1_fixed_smoke6000,42,no_counter,0.5785,0.6264,0.6661,58
real_v3_1_fixed_smoke6000,42,no_counter_no_losses,0.5824,0.6256,0.6674,55
real_v3_1_fixed_smoke6000,43,full,0.5835,0.6237,0.6671,64
real_v3_1_fixed_smoke6000,43,no_counter,0.5889,0.6279,0.6658,58
real_v3_1_fixed_smoke6000,43,no_counter_no_losses,0.5823,0.6215,0.6673,55
real_v3_1_fixed_smoke6000,44,full,0.5884,0.6311,0.6655,64
real_v3_1_fixed_smoke6000,44,no_counter,0.5944,0.6337,0.664,58
real_v3_1_fixed_smoke6000,44,no_counter_no_losses,0.5883,0.6311,0.6656,55
