study_mode,family,accuracy,balanced_accuracy,confusion_matrix,n_rows,roc_auc,log_loss,n_features,left_out_features,delta_accuracy_vs_full,delta_roc_auc_vs_full,delta_log_loss_vs_full
full,ALL,0.5598910137775036,0.5634059865927465,"[[4361, 5634], [2927, 6530]]",19452,0.5954465442512945,0.69091037087851,64,,,,
leave_one_family_out,combat,0.5573719925971622,0.5609576068567221,"[[4311, 5684], [2926, 6531]]",19452,0.5895070036868916,0.6937259913416084,55,9.0,-0.0025190211803414186,-0.005939540564402934,0.002815620463098356
leave_one_family_out,composition,0.5563438206868189,0.5598062751371456,"[[4344, 5651], [2979, 6478]]",19452,0.587402636498539,0.6960732023104186,54,10.0,-0.0035471930906847415,-0.008043907752755541,0.005162831431908543
leave_one_family_out,counter,0.5630783466995681,0.5664591574628384,"[[4440, 5555], [2944, 6513]]",19452,0.600796591591767,0.6891464683981211,58,6.0,0.003187332922064523,0.005350047340472508,-0.0017639024803889347
leave_one_family_out,delta_15s,0.5608163684968127,0.564386121367758,"[[4351, 5644], [2899, 6558]]",19452,0.5950147855994191,0.6941075371902719,58,6.0,0.0009253547193091016,-0.0004317586518753913,0.003197166311761812
leave_one_family_out,economy,0.5356775652889163,0.5400178041860096,"[[3829, 6166], [2866, 6591]]",19452,0.5599842852588397,0.7082205932015897,38,26.0,-0.024213448488587308,-0.03546225899245481,0.01731022232307966
leave_one_family_out,losses,0.557886078552334,0.56138386418545,"[[4347, 5648], [2952, 6505]]",19452,0.5999228174941864,0.6888659023126082,61,3.0,-0.002004935225169646,0.004476273242891904,-0.0020444685659017914
leave_one_family_out,other,0.553979025293029,0.5576246513867064,"[[4256, 5739], [2937, 6520]]",19452,0.591751860915125,0.693154181454655,62,2.0,-0.005911988484474606,-0.003694683336169513,0.002243810576144978
leave_one_family_out,scouting,0.5518198642813078,0.5555264467382258,"[[4213, 5782], [2936, 6521]]",19452,0.585400107265222,0.6941210899989841,62,2.0,-0.008071149496195806,-0.010046436986072549,0.0032107191204741037
