feature,importance_mean,importance_std
diff_income,0.019462320946647238,0.003165870873988008
diff_workers,0.012689433257214,0.001634834959518383
p2_scout,0.011651442806726087,0.0008563421216524758
p1_scout,0.006150093419140468,0.001323437824371998
army_supply_ratio_diff,0.00238737803612199,0.0007784928378659073
counter_advantage_p2,0.002231679468548853,0.0003113971351463851
p2_epm,0.0018164832883536541,0.00020759809009757157
delta_sq_p1,0.0017905335270915201,0.00012974880631094754
counter_advantage_vol_120,0.0017645837658293306,0.00046709570271952217
diff_combat_vol_120,0.0016348349595183276,0.0009601411667012894
diff_workers_120s,0.0012196387793231844,0.0007525430766036623
p2_workers,0.0010639402117500474,0.0010639402117500474
p1_num_unit_types,0.0009860909279634233,0.00036329665767076413
p2_combat,0.0009601411667012338,0.0002854473738841956
p1_army_entropy,0.0009601411667012338,0.0004930454639817117
p2_army_to_worker_ratio,0.0009341914054390443,0.0009341914054390443
delta_workers_p1,0.0008822918829146098,0.00020759809009757157
sq_momentum_15,0.0008563421216524203,0.00012974880631100305
income_momentum_15,0.0007265933153414172,5.1899522524379016e-05
diff_income_vol_120,0.0006746937928170382,0.0005189952252439012
p2_army_entropy,0.0006487440315548487,0.00012974880631094754
counter_advantage_diff,0.0005968445090304697,0.00018164832883532656
counter_advantage_diff_60s,0.0005968445090304697,0.00018164832883532656
diff_epm,0.0005968445090304697,0.00012974880631094754
diff_combat_60s,0.0005708947477682802,0.00015569856757313705
diff_income_60s,0.0005189952252438457,0.00020759809009757157
p2_worker_growth_ratio,0.00044114594145727715,0.0007006435540792832
p2_army_supply_ratio,0.0003373468964085191,0.00023354785135976108
economic_momentum_15,0.0002594976126218951,0.00046709570271952217
diff_income_120s,0.00012974880631094754,0.00012974880631094754
diff_workers_60s,0.00010379904504875803,0.0007784928378659073
counter_advantage_diff_120s,0.00010379904504875803,0.00041519618019514315
counter_advantage_p1,5.1899522524323505e-05,0.00020759809009757157
combat_momentum_15,2.5949761262189508e-05,0.00038924641893295364
p1_epm,-2.594976126224502e-05,0.00018164832883538207
delta_combat_p2,-5.189952252443453e-05,0.00010379904504881354
p2_tech_level,-0.00010379904504881354,0.0010898899730122369
diff_sq_vol_120,-0.00015569856757324807,0.0008822918829146653
income_per_worker_diff,-0.00015569856757324807,0.00036329665767076413
diff_sq,-0.0002854473738841956,0.0005449449865060907
p2_income_per_worker,-0.00036329665767076413,0.00036329665767076413
delta_workers_p2,-0.00036329665767076413,5.1899522524379016e-05
p1_sq,-0.00038924641893300915,0.0002854473738841401
p1_worker_growth_ratio,-0.00044114594145738817,0.0005968445090305252
diff_sq_120s,-0.0004930454639818227,2.5949761262189508e-05
p1_tech_level,-0.0005189952252439567,0.0005189952252439567
p2_num_unit_types,-0.0005189952252439567,0.0006227942702927147
p2_recent_losses,-0.0005968445090305807,0.00044114594145733266
delta_sq_p2,-0.0006227942702927702,0.0007784928378659073
p1_income_per_worker,-0.0006487440315549597,0.0005449449865060907
diff_sq_60s,-0.0006746937928171493,0.0002594976126220061
diff_combat_120s,-0.0006746937928171493,0.0
phase,-0.0007006435540793388,7.784928378656852e-05
tech_diff,-0.0007265933153415838,0.00020759809009757157
loss_trade_ratio,-0.0008044425991281523,7.784928378662404e-05
p1_recent_losses,-0.0008563421216525313,0.0002854473738841401
delta_combat_p1,-0.0008822918829147208,0.0005708947477683357
p2_sq,-0.0009860909279634789,0.001453186630683001
p1_army_supply_ratio,-0.0010898899730122924,0.00041519618019514315
diff_combat_score,-0.001115839734274482,0.001582935436994004
p1_workers,-0.001115839734274482,0.0007525430766037178
diff_workers_vol_120,-0.00215383018476234,0.0011158397342744264
p1_combat,-0.002646875648744107,0.00041519618019514315
p1_army_to_worker_ratio,-0.003113971351463629,0.00041519618019514315
