feature,mean,std,count
diff_income,0.050884565,0.006829559245265321,3
diff_workers,0.05074046166666666,0.007348405179417117,3
p2_num_unit_types,0.027014095666666668,0.00906873371400188,3
diff_combat_score,0.02608319766666667,0.004865763472360873,3
tech_diff,0.02167036,0.0006763196133301166,3
p2_scout,0.021430713333333334,0.0011232893338273676,3
p2_tech_level,0.020844124000000002,0.0013091658457567551,3
p1_scout,0.020673226,0.0011534014110174341,3
p1_tech_level,0.020519731666666666,0.002567085496192196,3
p2_workers,0.020254820333333333,0.001552044993750288,3
diff_combat_120s,0.019346128666666667,0.0012748965469705123,3
p1_num_unit_types,0.01919764,0.0017392722196312453,3
p2_army_entropy,0.018780687333333334,0.0013651240945146109,3
p1_army_to_worker_ratio,0.018543465,0.0011802266696749406,3
p1_army_supply_ratio,0.017960031333333334,0.0013500325542953897,3
army_supply_ratio_diff,0.017802623333333333,0.0016958818436038907,3
p1_combat,0.017742372,0.0018204173177631543,3
counter_advantage_p1,0.017733643666666667,0.0004977031279290217,3
p1_army_entropy,0.017592639,0.0025561090533255805,3
p2_combat,0.017495684,0.0005528252255062177,3
counter_advantage_diff,0.017192215,0.0027770891394517765,3
p2_army_supply_ratio,0.016854169999999998,0.003053120543911098,3
p1_workers,0.016770822666666668,0.0008097271500328568,3
counter_advantage_p2,0.016201008,0.0016904691773031528,3
p2_sq,0.016104276,0.0016528271200488582,3
loss_trade_ratio,0.01607858566666667,0.002623514756942742,3
diff_income_120s,0.015521889333333335,0.00036611643703244684,3
diff_income_60s,0.015504967,0.0008846637020026304,3
counter_advantage_vol_120,0.014714336166666666,0.0014767601540424857,3
p2_recent_losses,0.014476685666666668,0.001961313911859173,3
diff_sq,0.014425431666666664,0.003618179019798817,3
diff_combat_vol_120,0.014406028833333332,0.0016970990462775236,3
p2_army_to_worker_ratio,0.014209104,0.00180179107114865,3
phase,0.013818493666666667,0.0051743556394760245,3
diff_combat_60s,0.013762086333333333,0.0017905153528094471,3
p2_income_per_worker,0.013379138166666665,0.0019651747248826457,3
p1_recent_losses,0.013181772999999999,0.0021016344020518885,3
p1_sq,0.012954799333333334,0.002202932996918049,3
diff_income_vol_120,0.012849839500000002,0.0015923241705261377,3
p1_income_per_worker,0.012676478,0.00042866315599664076,3
income_per_worker_diff,0.012635834,0.0006269827608658791,3
counter_advantage_diff_120s,0.012380091000000001,0.000645724819709604,3
diff_workers_120s,0.012367460333333335,0.0007413851100752789,3
diff_workers_vol_120,0.012107935666666667,0.0017069494454404128,3
p1_epm,0.011917259333333333,0.0011856253517955554,3
counter_advantage_diff_60s,0.0118124985,0.0011854442352353615,3
delta_combat_p2,0.011734751333333335,0.0007165241592719209,3
p2_epm,0.011555520333333333,0.0012517274890255993,3
income_momentum_15,0.011016223,0.0003361942810831262,3
diff_epm,0.010959934166666666,0.001015698059361434,3
diff_sq_vol_120,0.010468986166666666,0.0012654440158152338,3
diff_sq_60s,0.01034187,0.0014261516935224672,3
p1_worker_growth_ratio,0.010204936,0.00043176351736106647,3
diff_workers_60s,0.009988888333333333,0.0004441844341828429,3
combat_momentum_15,0.009224406499999999,0.0011303028848750013,3
delta_sq_p2,0.009196436666666667,0.0018065566240985458,3
delta_combat_p1,0.008945265333333334,0.0031378145714838434,3
sq_momentum_15,0.008620591666666665,0.00023124510908629725,3
diff_sq_120s,0.008201262733333332,0.002006726969064704,3
p2_worker_growth_ratio,0.007982891333333334,0.0016966065869671533,3
delta_sq_p1,0.007955101666666667,0.000999841507226187,3
delta_workers_p2,0.007917678,0.0069129730984498995,3
economic_momentum_15,0.0076125816666666665,0.0016091795324429568,3
delta_workers_p1,0.007459253999999999,0.007984858882927612,3
